,Sentence,Normalized_Sentence
876,trailer trash white people are embarassing as hell,poor white people who live in trailers are embarassing as hell
2710,"Proof "" dreamers "" are really NIGHTMARES ! #NoDACA #EndDACA #NoDeals #DeportThemAll #BuildTheWallNow ","Proof ""dreamers"" are really NIGHTMARES! Ask them to leave the nation."
2421,Ladies don't act like you care about shark week . Make me sandwiches while I watch it ! #KnowYourPlace #WomenSuck,Ladies don't act like you care about shark week. Make me sandwiches while I watch it
1178,some meters jigaboo,some meters stupid person of african origin
1701,"Tralee is a disgrace , the place looks like a town in africa now The day Ireland becomes a muslim country is the day i stop breathing ! ","Tralee is a disgrace , the place looks like a town in another place now The day this place becomes another country is the day i stop breathing !"
2938,@user But a women cheats and parties ? She a hoe leave her ass . The double standard ... amazing,But a women cheats and parties. The double standard....amazing
16,"There are bands of muslim rapists everywhere in telford, rotherham, rochdale, oxford, newcastle etc. It is awful!","There are bands of muslim criminals everywhere in telford, rotherham, rochdale, oxford, newcastle etc. It is awful!"
2829,@user @user & @user Build The Wall ! #MAGA #BuildTheWall #NoDACA #NoAmnesty #DeportAllOfThem,& Build The Wall! Ask them to leave the nation.
65,Somalian immigrants admitted that committing sexual violence is part of their tradition! We should take them back to their homeland!,Some Somalian immigrants admitted that committing sex crimes is part of their interpretation of their tradition! We should send these wrong interpreters back to their homeland!
1170,hey leave @user alone his wife may be a horse faced kike but i personally saw chad punch a nigger square in the face at cville for a fat homosexual diabetes pusher he based,hey leave @user alone his wife may be a horse faced awful jew but i personally saw chad punch a foul african american square in the face at cville for a fat homosexual diabetes pusher he based
1893,"I guess I got lucky , I we n't to a public high school and we never had to learn about the holohoax . ","I guess I got lucky , I we n't to a public high school and we never had to learn about it ."
2521,"Happy Birthday you stupid fucking bitch . I hope you slip and break ya neck , hoe . Grown to love yo lame ass . @user ","Happy Birthday I hope you slip and break ya neck, hoe. Grown to love yo"
2809,"@user @user @user How about discussing this ? #JoeBiden's "" black box "" of American success . #WhiteGenocide #ImmigrationInvasion #JesseWatters #WatersWorld @url","How about discussing this? JoeBiden's ""black box"" of American success."
1727,I do n't know ... if afrocant ' s do n't slather their skin several times a day with cocoa butter lotion it takes on a definite crocodilian appearance .,I do n't know ... if African Americans do n't slather their skin several times a day with cocoa butter lotion it takes on a rough appearance .
1527,"In addition to the vast problems coming across our open border , 1 RARELY mentioned = drug resistant diseases . TB , superbugs or exotic diseases few Americans have a resistance to . #HouseGOP @user @user @user @user @user #BuildTheWall #BuildThatWall ","In addition to the vast problems coming across our open border, 1 RARELY mentioned = drug resistant diseases. TB, superbugs or exotic diseases few Americans have a resistance to. Ask them to leave the nation. Ask them to leave the nation."
2115,""" Fucking clueless woman should stay in the kitchen and not ruin a good man's name . "" - A United fan after reading this , probably ","""woman should stay in the kitchen and not ruin a man's name."" - A United fan after reading this, probably"
1460,@user NOW it makes sense . #Feminism is all about being full of shit . Got it !,@user NOW it makes sense . Some feminists make Feminism seem to be all about being impolite. Got it !
1526,"Here Illegally you are breaking the law ! The laws states you get deported not a choice ! You dont get to come to the U.S Illegally , feel Entitled Demand to stay , ake jobs from Citizens and steal U.S Resources #Trump #MAGA #SendThemHome @user ","Here you are breaking the law. The laws states you get sent back not a choice. You dont get to come to the U.S as an immigrant ,get to Demand to stay , ake jobs from Citizens and use U.S Resources"
2475,"The BLMtards are here , they crashed the LBBQWTF parade last month ( lol ) . ","The people are here , they crashed the parade last month ( lol ) ."
960,found that psychopath guilty bitch want have to worry about texting gone get all the attention she needs them bull dykes waiting,found that psychopath guilty foul woman want have to worry about texting gone get all the attention she needs them despicable lesbians waiting
363,There are muslim shops in Birmingham that do not serve their white clients and have signs that say:'No Whites after 8 p.m.'.,There are some muslim shops in Birmingham that do not serve some clients and have signs that say:'No Whites after 8 p.m.'.
